timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,cadence,fractional_cadence
2019-01-26 08:49:35-06:00,41.119639333337545,-73.81988265551627,0.0,121.39999999999998,3107,16.02,16020.0,None,0,None
2019-01-26 08:49:36-06:00,41.1196450330317,-73.81989950314164,0.00155,210.0,3550,16.02,16020.0,None,0,None
2019-01-26 08:49:37-06:00,41.11966531723738,-73.81991542875767,0.00417,210.0,3550,16.02,16020.0,None,0,None
2019-01-26 08:49:40-06:00,41.11968761309981,-73.81989866495132,0.01413,121.0,3105,11.772,11772.0,None,60,None
2019-01-26 08:49:41-06:00,41.119695492088795,-73.81988357752562,0.01568,121.0,3105,12.204,12204.0,None,60,None
2019-01-26 08:49:42-06:00,41.119703790172935,-73.81986773572862,0.01729,121.20000000000005,3106,9.756,9756.0,None,60,None
2019-01-26 08:49:43-06:00,41.119718542322516,-73.81985642015934,0.019190000000000002,121.20000000000005,3106,8.244,8244.0,None,60,None
2019-01-26 08:49:44-06:00,41.119723906740546,-73.81983471103013,0.02111,121.0,3105,7.704000000000001,7704.0,None,60,None
2019-01-26 08:49:45-06:00,41.11972407437861,-73.81978123448789,0.02558,121.0,3105,7.38,7380.0,None,78,None
2019-01-26 08:49:54-06:00,41.119867572560906,-73.81960404105484,0.05588,119.79999999999995,3099,11.556000000000001,11556.0,None,83,None
2019-01-26 08:49:55-06:00,41.11988676711917,-73.81961904466152,0.05837,119.79999999999995,3099,10.26,10260.0,None,82,None
2019-01-26 08:49:56-06:00,41.119901267811656,-73.81964687258005,0.06122,119.79999999999995,3099,9.756,9756.0,None,81,None
2019-01-26 08:49:57-06:00,41.11991040408611,-73.81967972964048,0.06415000000000001,119.79999999999995,3099,9.9,9900.0,None,81,None
2019-01-26 08:49:58-06:00,41.119915852323174,-73.8197220582515,0.06778,119.79999999999995,3099,10.116,10116.0,None,81,None
2019-01-26 08:49:59-06:00,41.11991861835122,-73.81975952535868,0.07094,119.79999999999995,3099,10.944,10944.0,None,81,None
2019-01-26 08:50:00-06:00,41.11992264166474,-73.81979556754231,0.07399,119.79999999999995,3099,11.052,11052.0,None,83,None
2019-01-26 08:50:08-06:00,41.120015094056726,-73.82005683146417,0.0983,119.20000000000005,3096,10.944,10944.0,None,83,None
2019-01-26 08:50:16-06:00,41.12014811486006,-73.82029613479972,0.12340999999999999,118.0,3090,11.052,11052.0,None,82,None
2019-01-26 08:50:25-06:00,41.12029639072716,-73.82049973122776,0.14762999999999998,116.79999999999995,3084,10.692,10692.0,None,83,None
2019-01-26 08:50:33-06:00,41.120426477864385,-73.82071824744344,0.17211,116.39999999999998,3082,10.620000000000001,10620.0,None,84,None
2019-01-26 08:50:41-06:00,41.12055438570678,-73.82094757631421,0.19507,115.79999999999995,3079,10.692,10692.0,None,85,None
2019-01-26 08:50:50-06:00,41.1206638533622,-73.82120749913156,0.22030000000000002,116.0,3080,10.512,10512.0,None,82,None
2019-01-26 08:50:59-06:00,41.12080525606871,-73.82150363177061,0.25059,116.0,3080,10.944,10944.0,None,82,None
2019-01-26 08:51:00-06:00,41.12080601043999,-73.82153330370784,0.25308,116.20000000000005,3081,10.908,10908.0,None,82,None
2019-01-26 08:51:01-06:00,41.120797377079725,-73.82156549021602,0.25595,116.20000000000005,3081,10.836,10836.0,None,82,None
2019-01-26 08:51:02-06:00,41.120787570253015,-73.8215887080878,0.25819,116.39999999999998,3082,10.836,10836.0,None,82,None
2019-01-26 08:51:03-06:00,41.12076736986637,-73.82160739973187,0.26094,116.60000000000002,3083,10.836,10836.0,None,82,None
2019-01-26 08:51:04-06:00,41.12075303681195,-73.82163078524172,0.26347000000000004,117.0,3085,10.692,10692.0,None,82,None
2019-01-26 08:51:06-06:00,41.120750019326806,-73.82167956791818,0.26763,117.79999999999995,3089,10.548,10548.0,None,80,None
2019-01-26 08:51:07-06:00,41.12075706012547,-73.82170245051384,0.26972,118.20000000000005,3091,10.44,10440.0,None,80,None
2019-01-26 08:51:08-06:00,41.120766615495086,-73.82172013632953,0.27154,118.39999999999998,3092,10.332,10332.0,None,80,None
2019-01-26 08:51:09-06:00,41.12077474594116,-73.82173798978329,0.27327999999999997,118.60000000000002,3093,10.224,10224.0,None,80,None
2019-01-26 08:51:10-06:00,41.12078044563532,-73.82176078855991,0.27532999999999996,118.79999999999995,3094,10.08,10080.0,None,79,None
2019-01-26 08:51:11-06:00,41.12078731879592,-73.82178836502135,0.27777999999999997,119.0,3095,10.08,10080.0,None,79,None
2019-01-26 08:51:12-06:00,41.120786061510444,-73.82181258872151,0.27981,119.0,3095,9.936,9936.0,None,78,None
2019-01-26 08:51:13-06:00,41.120784888044,-73.82183840498328,0.28199,119.60000000000002,3098,9.864,9864.0,None,78,None
2019-01-26 08:51:14-06:00,41.12078849226236,-73.8218617066741,0.28398,120.0,3100,9.864,9864.0,None,77,None
2019-01-26 08:51:15-06:00,41.120791928842664,-73.82188425399363,0.28592,120.39999999999998,3102,9.684,9684.0,None,76,None
2019-01-26 08:51:16-06:00,41.12079670652747,-73.82191065698862,0.2882,120.60000000000002,3103,9.612,9612.0,None,76,None
2019-01-26 08:51:17-06:00,41.12079712562263,-73.82194058038294,0.29073000000000004,120.79999999999995,3104,9.54,9540.0,None,77,None
2019-01-26 08:51:18-06:00,41.12080215476453,-73.82196882739663,0.29316000000000003,121.39999999999998,3107,9.54,9540.0,None,78,None
2019-01-26 08:51:19-06:00,41.12080064602196,-73.82200503721833,0.29623,121.79999999999995,3109,9.504000000000001,9504.0,None,78,None
